feature,covid_mean,climate_mean,p_value,test,covid_rate,climate_rate,adjusted_p_value
urgency,0.2660159924741298,0.2014167393199651,2.4642722111818846e-08,mann-whitney,,,2.8749842463788654e-08
authority,0.047271872060206964,0.10516564952048824,4.9711730924826924e-58,mann-whitney,,,3.4798211647378846e-57
doubt,0.40667920978363126,0.4650392327811683,1.1553380912003804e-33,mann-whitney,,,2.0218416596006657e-33
authority_to_doubt_ratio,235.2779285573254,22.010263334175583,1.7845284029218558e-56,mann-whitney,,,6.2458494102264955e-56
urgency_presence,,,0.7760073849271579,chi-squared,0.5176387582314205,0.5143853530950305,0.7760073849271579
authority_presence,,,3.4610776864905356e-53,chi-squared,0.1669802445907808,0.3066695727986051,8.075847935144583e-53
doubt_presence,,,1.1732399027155861e-13,chi-squared,0.9009877704609596,0.9433304272013949,1.6425358638018206e-13
