neg,neu,pos,compound
0.157,0.843,0.0,-0.9468
0.218,0.782,0.0,-0.6486
0.156,0.844,0.0,-0.34
0.0,1.0,0.0,0.0
0.119,0.881,0.0,-0.3182
0.0,1.0,0.0,0.0
0.0,0.901,0.099,0.6449
0.225,0.775,0.0,-0.8126
0.056,0.794,0.15,0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.865,0.135,0.1027
0.324,0.676,0.0,-0.5859
0.0,1.0,0.0,0.0
0.326,0.674,0.0,-0.5945
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.606,0.394,0.3818
0.425,0.575,0.0,-0.7506
0.223,0.777,0.0,-0.743
0.198,0.631,0.17,0.3773
0.0,1.0,0.0,0.0
0.104,0.896,0.0,-0.4404
0.073,0.83,0.097,0.1779
0.062,0.768,0.17,0.7762
0.073,0.899,0.028,-0.2732
0.047,0.918,0.036,-0.2023
0.159,0.687,0.155,-0.0258
0.131,0.742,0.127,-0.0258
0.2,0.643,0.157,-0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.084,0.858,0.058,-0.296
0.0,0.796,0.204,0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.755,0.245,0.5994
0.0,0.6,0.4,0.25
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.71,0.29,0.6486
0.0,1.0,0.0,0.0
0.133,0.867,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,0.667,0.333,0.5423
0.0,0.9,0.1,0.4404
0.23,0.531,0.239,0.0258
0.165,0.63,0.205,0.128
0.161,0.812,0.027,-0.7543
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.42,0.58,0.0,-0.7003
0.0,0.735,0.265,0.2023
0.0,0.513,0.487,0.4215
0.0,0.886,0.114,0.4023
0.106,0.806,0.087,-0.1531
0.394,0.606,0.0,-0.5994
0.0,1.0,0.0,0.0
0.08,0.92,0.0,-0.3818
0.187,0.813,0.0,-0.7178
0.393,0.607,0.0,-0.8126
0.0,0.839,0.161,0.3182
0.132,0.802,0.067,-0.2846
0.142,0.858,0.0,-0.6486
0.0,1.0,0.0,0.0
0.178,0.822,0.0,-0.8176
0.139,0.861,0.0,-0.6124
0.1,0.9,0.0,-0.4767
0.197,0.803,0.0,-0.4019
0.108,0.892,0.0,-0.4404
0.0,1.0,0.0,0.0
0.257,0.557,0.186,-0.5719
0.061,0.939,0.0,-0.25
0.07,0.879,0.051,-0.2263
0.0,0.859,0.141,0.3182
0.157,0.843,0.0,-0.4215
0.0,0.951,0.049,0.1779
0.132,0.868,0.0,-0.6249
0.226,0.774,0.0,-0.5423
0.206,0.794,0.0,-0.5267
0.0,0.899,0.101,0.2263
0.066,0.868,0.066,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.06,0.94,0.0,-0.4588
0.0,0.934,0.066,0.4019
0.149,0.851,0.0,-0.7003
0.0,1.0,0.0,0.0
0.181,0.819,0.0,-0.4767
0.278,0.722,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.784,0.216,0.7845
0.0,1.0,0.0,0.0
0.105,0.872,0.023,-0.6597
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.113,0.887,0.0,-0.4019
0.107,0.748,0.145,0.2023
0.054,0.774,0.171,0.6542
0.203,0.797,0.0,-0.6249
0.026,0.891,0.083,0.5848
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.224,0.776,0.0,-0.6705
0.0,0.581,0.419,0.5574
0.0,0.688,0.312,0.7096
0.0,1.0,0.0,0.0
0.262,0.738,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,0.916,0.084,0.3182
0.0,1.0,0.0,0.0
0.0,0.8,0.2,0.8743
0.274,0.726,0.0,-0.5994
0.273,0.727,0.0,-0.5423
0.0,0.897,0.103,0.7269
0.0,1.0,0.0,0.0
0.153,0.718,0.129,-0.128
0.0,1.0,0.0,0.0
